행정구역	취급품목	정책내용	기간	장소	정보일자	비고
강남구	투명페트병	투명 페트병 10개(1.2ℓ 이상) 또는 투명 페트병 20개(1.2ℓ 미만) 당 ⇆ 일반 종량제 봉투(10ℓ) 1장 ⦁ 내용물을 비워 라벨을 떼고 압착 후 뚜껑을 닫아 제출	연중	동 주민센터	구청메뉴	
강남구	종이팩	200ml 50개 또는 500ml 25개 또는 1L 15개 당 ⇆ 일반 종량제 봉투(10ℓ) 1장 ⦁ 내용물을 비워 펼친 후 물로 헹궈 건조 후 제출  ⦁ 멸균팩 수거가능	연중	동 주민센터	구청메뉴	
강남구	투명페트병(무인)	강남구 투명페트병 무인 회수기(네프론) 운영 투명페트병 1개당 ⇆ 10포인트, 2000포인트부터 현금전환 가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 라벨과 뚜껑을 제거하여 제출 ⦁ 수퍼빈 앱 다운로드 후 이용 ⦁ 앱을 통해 회수기의 용량과 수거 가능여부를 확인 후 방문 권장 ⦁ 수거함 위치 확인 https://www.superbin.co.kr/map?tab=search&search=%EA%B0%95%EB%82%A8%EA%B5%AC	상시 이용가능	세븐일레븐 대치3호점, 세븐일레븐 역삼 14호점		
강남구	커피 찌꺼기	강남구 소재 커피 전문점 대상 강남구 커피찌꺼기 재자원화 사업 지원 ⦁ 커피찌꺼기 재자원화사업 참여 신청서 제출 후 배출 (강남구 소재 커피 전문점만 가능) ⦁ 신청서 및 자세한 사항은 강남구청 홈페이지 확인(분야별정보 > 환경/청소 > 쓰레기 배출안내 > 강남구 커피찌꺼기 재자원화 사업안내) ⦁ https://www.gangnam.go.kr/board/waste/list.do?mid=ID02_011109	신청업장에 한해 매주 화, 금 오전에 탄력수거			
강동구	종이팩	종이팩 1㎏당 ⇆ 화장지 1롤과 종량제봉투(10ℓ) 1장 ( ※ 제공 품목의 재고 상황에 따라 다르게 지급될 수 있습니다.) ⦁ 멸균팩 수거불가 ⦁ 내용물을 비우고 물로 헹궈 건조 후 주민센터로 제출	연중	동 주민센터	2024.01	천호 2동 주민세터 게시글이여서 천호동만 해당인지 강동구 전체인지 잘 모르겠음
강동구	투명페트병	투명페트병 1개 당⇆ 10원 ⦁ 내용물을 비우고 물로 헹궈 건조 후 주민센터로 제출	매주 금요일 13:00~16:00	성내2동 성내종합사회복지관, 천호1동 주민센터, 길동 주민센터,암사1동 주민자치회관	2021.11	3년전 자료여서 정보 신뢰성이 떨어짐, 중지 한다는 내용의 공지는 없었음
강동구	플라스틱 류	플라스틱류 ⇆ 70~100원(1kg당) ⦁ 내용물을 비우고 물로 헹궈 건조 후 주민센터로 제출	"	"	"	"
강동구	알루미늄 캔	알루미늄캔 ⇆ 500원(1kg당) ⦁ 내용물을 비우고 물로 헹궈 건조 후 주민센터로 제출	"	"	"	"
강동구	철 캔	철캔 ⇆ 70원(kg당) ⦁ 내용물을 비우고 물로 헹궈 건조 후 주민센터로 제출	"	"	"	"
강북구	종이팩	종이팩 1㎏당 ⇆ 화장지 1롤 ⦁ 멸균팩 수거 불가능 ⦁ 내용물을 비워 펼친 후 물로 헹궈 건조 후 제출 ⦁ 1인당 월 20kg(20롤) 제한	연중	동 주민센터	구청메뉴	
강북구	투명폐트병	투명페트병 30개 당 ⇔ 종량제봉투(10ℓ) 1장 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출 ⦁ 1인 주 90개(3장) 제한	연중	동 주민센터	구청메뉴	
강북구	폐휴대폰	휴재폰 본체 1개 당 ⇔  재사용 종량제 봉투(20ℓ) 2장 ⦁ 휴대폰 본체 외에도 (보조)배터리, 충전기는 동 주민센터 청소담당 직원에게 제출이 가능합니다.	연중	동 주민센터	구청메뉴	
강북구	폐식용유	폐식용유는 동 주민센터 또는 공동주택 내 설치된 전용 수거함에 배출 가능합니다. (식물성 기름만 배출 가능)	연중	동 주민센터	구청메뉴	
강북구	투명페트병(무인)	강북구 투명페트병 무인 회수기(네프론) 운영 투명페트병 1개당 ⇆ 10포인트, 2000포인트부터 현금전환 가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 라벨과 뚜껑을 제거하여 제출 ⦁ 수퍼빈 앱 다운로드 후 이용 ⦁ 앱을 통해 회수기의 용량과 수거 가능여부를 확인 후 방문 권장 ⦁ 수거함 위치 확인 https://www.superbin.co.kr/map?tab=search&search=%EA%B0%95%EB%B6%81%EA%B5%AC	상시 이용가능	강북구청, 강북문화예술회관, 미아동 주민센터, 번2동 주민센터, 삼각산동 주민센터,		
강서구	종이팩	종이팩 2㎏당 ⇆ 화장지 1롤 또는 음식물 종량제 봉투(3ℓ) 1매 또는 일반 종량제 봉투(10ℓ) 1매 ⦁ 수집량 안내(2kg) 200ml = 200개, 500ml= 110개, 1000ml = 70개 ⦁ 멸균팩 수거가능 ⦁ 종이컵 수거 불가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 주민센터로 제출	지속운영	동 주민센터	2023.08	
강서구	종이팩(무인)	강서구 종이팩 무인 회수기 운영 종이팩 1개당 ⇆ 10포인트, 100포인트 적립시 우유(200ml) 1개 또는 생수(500ml) 1개로 교환가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출 ⦁ 오늘의 분리수거 앱 다운로드 후 이용	상시 이용가능(방화1동의 경우 평일 9:00~18:00 사용가능)	강서구 내 동 주민센터 20개소	2023.11	
강서구	투명페트병, 알루미늄 캔(무인)	강서구 투명페트병, 알루미늄 캔 무인 회수기(네프론) 운영 투명페트병, 알루미늄 캔 1개당 ⇆ 10포인트, 2000포인트부터 현금전환 가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 경우 라벨과 뚜껑을 제거하여 제출 ⦁ 수퍼빈 앱 다운로드 후 이용 ⦁ 앱을 통해 회수기의 용량과 수거 가능여부를 확인 후 방문 권장	24시간 운영	강서구청, 강서구민회관, 가양레포츠센터, 마곡레포츠센터, 곰달래문화복지센터(PET), 화곡4동주민센터(PET)설치	2023.12	곰달래문화복지센터와 화곡4동주민센터 총 2곳은 투명페트병만 수거 가능하고 나머지는 페트, 알루미늄 모두 가능
강서구	폐건전지	폐건전지 0.5kg당 ⇆ AA건전지 2개 또는 음식물 종량제 봉투 3ℓ 2매 또는 일반 종량제 봉투 10ℓ 2매  ⦁ 수집량 안내(0.5kg) AA건전지 = 약 20개 ⦁ 1인 1일 최대 2kg까지 교환가능 ⦁ 교환기간 중 1인 10kg까지 교환가능	보상품 소진시까지	동 주민센터	2023.08	2024.07 기준 수거중지 관련 내용 없음
관악구	투명페트병	투명페트병 30개 ⇆ 일반 종량제 봉투(10ℓ) 1장 또는 음식물 종량제 봉투(2ℓ) 1장	2024.05.02~11.28(7~8월 미운영), 매주 목요일 14:00 ~ 16:00	동 주민센터	2024.07	에코투모로우 (투명페트병 유가보상제) 라고 명칭
관악구	종이팩	종이팩 2㎏당 ⇆ 화장지 1롤⦁ 수집량 안내(2kg) 200ml = 200개, 500ml= 110개, 1000ml = 7개 ⦁ 멸균팩 수거 불가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 주민센터로 제출	/	동 주민센터	2023.08	현재 시행여부, 명확한 기간정보 필요
관악구	폐식용유(무인)	폐식용유 스마트 무인 회수기 on리유 운영 페식용유 1g당 ⇆ 100포인트 ⦁ 3ℓ 이하의 밀봉된 폐식용유를 용기채 제출 ⦁ 식용유 용기및 PET용기만 수거가능 (유리용기 불가) ⦁ on리유 회원가입 후 이용	/	전통시장 인근 주민센터 4곳 (신사, 신림, 신원, 청룡)	2024.07	정확한 리워드 정보, 폐식용유 기준 (사용한 기름은 안되는지)
관악구	투명페트병(무인)	관악구 투명페트병 무인 회수기(네프론) 운영 투명페트병 1개당 ⇆ 10포인트, 2000포인트부터 현금전환 가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 라벨과 뚜껑을 제거하여 제출 ⦁ 수퍼빈 앱 다운로드 후 이용 ⦁ 앱을 통해 회수기의 용량과 수거 가능여부를 확인 후 방문 권장 ⦁ 수거함 위치 확인 https://www.superbin.co.kr/map?tab=search&search=%EA%B4%80%EC%95%85%EA%B5%AC	상시 이용가능	관악 청년청, 난곡동 주민센터, 난곡 재생활력소, 미성 경로당, 밤골 경로당, 삼성동 자치회관, 성현동 자치회관, 세븐일레븐 신림 대학스타점, 신림동 행정복지센터, 신림 종합사회복지관, 신사동 행정복지센터, 은천동 행정복지센터, 중앙동 주민센터 새싹공원 앞, 행운동 주민센터 총 14곳		
관악구	투명페트병, 알루미늄 캔(무인)	관악구 투명페트병, 알루미늄 캔 무인 회수기(네프론) 운영 투명페트병, 알루미늄 캔 1개당 ⇆ 10포인트, 2000포인트부터 현금전환 가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 경우 라벨과 뚜껑을 제거하여 제출 ⦁ 수퍼빈 앱 다운로드 후 이용 ⦁ 앱을 통해 회수기의 용량과 수거 가능여부를 확인 후 방문 권장 ⦁ 수거함 위치 확인 https://www.superbin.co.kr/map?tab=search&search=%EA%B4%80%EC%95%85%EA%B5%AC	상시 이용가능	낙성대동 주민센터, 대학동 주민센터, 신원동 주민센터, 중앙동 주민센터 새싹문고 앞 총 5곳		
광진구	종이팩	종이팩(우유팩) 1.5㎏당 ⇔ 두루마리 휴지 1개 + 종량제봉투 1매	매주 목요일 9:00 ~ 16:00	동 주민센터	2024.07	멸균팩 가능 여부가 명확하지 않음
광진구	투명페트병	투명페트병 30개 ⇔ 종량제봉투 1매  ⦁ 내용물이 비워진 투명페트병만 수거 가능(크기 및 뚜껑유무 무관) ⦁ 내용물이 비워져 있지 않거나 유색 페트병 수거 불가능 ⦁ 1인 1일 최대 120개	매주 목요일 9:00 ~ 16:00	동 주민센터	2024.07	
광진구	폐건전지	폐건전지 20개 ⇔ 종량제봉투 1매 ⦁ 건전지 규격 무관 ⦁ 휴대폰 배터리, 보조배터리 수거 불가 ⦁ 1인 1일 최대 200개	매주 목요일 9:00 ~ 16:00	동 주민센터	2024.07	
광진구	투명페트병, 알루미늄 캔(무인)	광진구 투명페트병, 알루미늄 캔 무인 회수기(네프론) 운영 투명페트병, 알루미늄 캔 1개당 ⇆ 10포인트, 2000포인트부터 현금전환 가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 제출, 투명페트병의 경우 라벨과 뚜껑을 제거하여 제출 ⦁ 수퍼빈 앱 다운로드 후 이용 ⦁ 앱을 통해 회수기의 용량과 수거 가능여부를 확인 후 방문 권장	/	중곡문화체육센터, 중곡역 소공원, 구의1동주민센터, 아차산 숲속 놀이터, 구의3동주민센터, 광진구민체육센터, 자양한강도서관, 자양사회복지관, 건국대학교, 광진광장	2024.06	중곡문화체육센터, 중곡역 소공원, 구의1동주민센터, 아차산 숲속 놀이터 총 4곳은 투명페트병만 수거 가능하고 나머지는 페트, 알루미늄 모두 가능
구로구	종이팩	종이팩(우유팩) 1.5㎏당 ⇔ 종량제봉투(10ℓ) 1매 ⦁ 멸균팩 수거 불가능 ⦁ 내용물을 비우고 물로 헹궈 건조 후 주민센터로 제출	지속운영	동 주민센터	2020.11	
